Time (s),Voltage (microV)
0.0000000,-0.0047000
1.0009727,-0.0039600
2.0009191,-0.0036200
3.0007277,-0.0040000
4.0002084,-0.0041200
5.0008895,-0.0021800
6.0009534,-0.0104600
7.0005004,-0.0213000
8.0002222,-0.0264200
9.0007100,-0.0287300
10.0009799,-0.0285700
11.0008705,-0.0275000
12.0001600,-0.0280600
13.0009339,-0.0285000
14.0003057,-0.0286800
15.0003603,-0.0294800
16.0000410,-0.0445200
17.0007546,-0.0337800
18.0008979,-0.0158700
19.0001802,-0.0092500
20.0005457,-0.0072800
21.0005853,-0.0056600
22.0005631,-0.0051000
23.0006301,-0.0058100
24.0001879,-0.0058700
25.0002663,-0.0052700
26.0008304,-0.0034500
27.0008268,-0.0032200
28.0001812,-0.0042000
29.0000591,-0.0043800
30.0009129,-0.0040000
Filename given when saved in H2ORUN=,C:\Users\nikit\OneDrive\Documents\projects\H2O-run\live_irr_run_to_file.txt
Date of measurement=,Tuesday Aug 15 2023
Time of measurement=,10:47:28
Predrift time (s)=,10
Dissipation time (s)=,10
Afterdrift time (s)=,10
Decade box setting(OHM)=,19669
